ten_thuy_dien,cong_xuat,san_luong,nam_khoi_cong,nam_hoat_dong,vi_do,kinh_do,tren_song,vi_tri_hanh_chinh,tinh_trang,qui_mo,loai,dung_tich,luu_vuc,chu_dau_tu,loai_hinh,von_dau_tu
Đạ Dâng 2,34,152,6/29/1905,7/2/1905,11.721953,108.246808,Đa Dâng,"xã Tân Thành huyện Đức Trọng và xã Tân Hà huyện Lâm Hà, tỉnh Lâm Đồng",,,,,,,,
Đạ Dâng - Đạ Chomo,23,111,6/25/1905,7/8/1905,11.953460,108.307746,Đạ Dâng,xã Lát huyện Lạc Dương và xã Phi Tô huyện Lâm Hà tỉnh Lâm Đồng,,,,,,,,
Đồng Nai 2,70,264,6/29/1905,7/7/1905,11.712939,108.057867,Đồng Nai,xã Tân Thượng huyện Di Linh và Tân Thanh huyện Lâm Hà tỉnh Lâm Đồng,,,,,,,,
Đức Thành,30,,,7/10/1905,11.671296,107.271677,Đồng Nai,xã Thống Nhất huyện Bù Đăng tỉnh Bình Phước,,,,,,,,
Đăk Glun,18,76,7/1/1905,7/3/1905,12.025169,107.183367,Đăk G'lun,xã Đăk Nhau huyện Bù Đăng tỉnh Bình Phước,,,,,,,,
Đăk Kar,12,,7/6/1905,7/9/1905,11.845970,107.422889,Đăk Kar,xã Đăk Sin huyện Đắk R'lấp tỉnh Đắk Nông,,,,,,,,
Bảo Lộc,40,128.6,6/27/1905,7/1/1905,11.424754,107.874937,La Ngà,xã Lộc Nam huyện Bảo Lâm tỉnh Lâm Đồng,,,,,,,,
Đắc Mê,5,25,7/1/1905,7/3/1905,12.133269,108.313047,Đăk Mê,xã Đạ Long huyện Đam Rông tỉnh Lâm Đồng,,,,,,,,
Đăk Nông 2,16,65,,7/8/1905,11.964508,107.667511,Đăk Nông,p. Nghĩa Tân Tx. Gia Nghĩa tỉnh Đăk Nông,,,,,,,,
Đăk Sin 1,28,105,7/2/1905,7/7/1905,11.820482,107.458698,Đăk R' Keh,xã Đăk Sin và Hưng Bình huyện Đăk R’lấp tỉnh Đăk Nông,,,,,,,,
Quảng Tín,5,21,6/29/1905,7/1/1905,11.954382,107.438904,Đăk R'lấp,xã Quảng Tín huyện Đăk R'lấp tỉnh Đăk Nông[50],,,,,,,,
Đăk Ru,6.9,30,6/27/1905,6/29/1905,11.905759,107.422936,Đăk Ru,xã Đăk Ru huyện Đắk R'lấp tỉnh Đắk Nông,,,,,,,,
Sông Chò 2,7,26,7/8/1905,7/10/1905,12.447036,108.843612,Sông Chò,xã Khánh Hiệp huyện Khánh Vĩnh tỉnh Khánh Hòa[51],,,,,,,,
Đan Sách 2&3,5.5,25,7/4/1905,2/1/2015,11.242646,108.009698,Suối Thị,xã Đông Tiến huyện Hàm Thuận Bắc tỉnh Bình Thuận,,,,,,,,
Sông Giang 2,37,142,7/1/1905,7/6/1905,12.372883,108.837386,Sông Giang,xã Khánh Trung huyện Khánh Vĩnh tỉnh Khánh Hòa,,,,,,,,
Ea Krông Rou,28,140,6/27/1905,6/29/1905,12.599167,108.939722,Ea Krông Rou,xã Ninh Tây huyện Ninh Hòa tỉnh Khánh Hòa,,,,,,,,
Bắc Bình,33,145,6/25/1905,7/1/1905,11.371086,108.328156,Ma Đế,"xã Phan Sơn và Phan Lâm, huyện Bắc Bình tỉnh Bình Thuận",,,,,,,,
Sông Pha,7.5,40,6/14/1905,6/17/1905,11.833866,108.684705,Sông Pha,xã Lâm Sơn huyện Ninh Sơn tỉnh Ninh Thuận,,,,,,,,
Hạ Sông Pha 1,5.4,32,7/3/1905,7/5/1905,11.829795,108.691826,Sông Pha,xã Lâm Sơn huyện Ninh Sơn tỉnh Ninh Thuận,,,,,,,,
Hạ Sông Pha 2,5.1,30,7/3/1905,7/7/1905,11.832935,108.708343,Sông Pha,xã Lâm Sơn huyện Ninh Sơn tỉnh Ninh Thuận,,,,,,,,
Sông Ông,8.1,41,7/1/2005,8/1/2009,11.771322,108.798482,Sông Ông,xã Quảng Sơn huyện Ninh Sơn tỉnh Ninh Thuận[52],,,,,,,,
